Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Dansk litteratur,Hvilken dansk forfatter skrev Den grimme ælling?,100,H.C. Andersen,Karen Blixen,Tove Ditlevsen,Ludvig Holberg
Dansk litteratur,Hvem skrev romanen Pelle Erobreren?,200,Martin Andersen Nexø,Henrik Pontoppidan,Johannes V. Jensen,Herman Bang
Dansk litteratur,Hvilken forfatter skrev Barndommens gade?,300,Tove Ditlevsen,Karen Blixen,Inger Christensen,Helle Helle
Dansk litteratur,Hvem skrev Lykke-Per?,400,Henrik Pontoppidan,H.C. Andersen,Klaus Rifbjerg,Tom Kristensen
Dansk litteratur,Hvilken forfatter skrev under pseudonymet Isak Dinesen?,500,Karen Blixen,Tove Ditlevsen,Helle Helle,Suzanne Brøgger
Dansk litteratur,Hvem skrev komedien Jeppe på Bjerget?,600,Ludvig Holberg,Adam Oehlenschläger,Søren Kierkegaard,B.S. Ingemann
Dansk litteratur,Hvem skrev novellen Hosekræmmeren?,700,Steen Steensen Blicher,Herman Bang,Martin Andersen Nexø,Johannes V. Jensen
Dansk litteratur,Hvilken dansk forfatter fik Nobelprisen i 1917?,800,Henrik Pontoppidan,Karen Blixen,Tove Ditlevsen,Peter Høeg
Dansk litteratur,Hvem skrev Kongens fald?,900,Johannes V. Jensen,Tom Kristensen,Klaus Rifbjerg,Herman Bang
Dansk litteratur,Hvilket værk af Inger Christensen er opbygget efter alfabetet?,1000,Alfabet,Sommerfugledalen,Det,Azorno
Dansk litteratur,Hvem skrev Svantes viser?,1100,Benny Andersen,Kim Larsen,Halfdan Rasmussen,Poul Henningsen
Dansk litteratur,Hvilket værk af Peter Høeg blev en international bestseller?,1200,Frøken Smillas fornemmelse for sne,Hærværk,Lykke-Per,Barndommens gade
Dansk litteratur,Hvem skrev romanen Profeterne i Evighedsfjorden?,1300,Kim Leine,Jussi Adler-Olsen,Carsten Jensen,Jakob Ejersbo
Dansk litteratur,Hvilket eventyr handler om en fattig pige med tændstikker?,1400,Pigen med svovlstikkerne,Tommelise,Snesdronningen,Den standhaftige tinsoldat
Dansk litteratur,Hvem skrev Halfdans ABC?,1500,Halfdan Rasmussen,Ole Lund Kirkegaard,Benny Andersen,H.C. Andersen
